.	clusterCut_r
ARHGAP36	2
MAB21L2	2
NKX2-2	2
JPH3	2
CACNG7	2
SLC8A3	2
STMN2	2
FRMD7	2
B4GALNT3	2
ENTPD3	2
SP7	2
FAM69C	2
EPYC	2
KERA	2
SYT6	2
FAM196A	2
P2RX2	2
BEND4	2
SYT4	2
FGF10	2
SULT1E1	2
GRM7	2
C20orf186	2
CNTNAP4	2
ZYG11A	2
INA	2
SLC9A3	2
IGSF9	2
MAP7D2	2
KIRREL3	2
LOC283731	2
ISLR2	2
SLC16A4	2
PRKCZ	2
ADAMTSL2	2
SARDH	2
ODZ4	2
FAM19A5	2
CADM1	2
NPTX2	2
TMEM130	2
ARSE	2
GPM6B	2
SFRP2	2
COMP	2
CILP2	2
CXCL14	2
SPON1	2
MYL3	2
PTH1R	2
SORCS2	2
TMEM92	2
CYS1	2
DUSP15	2
WDR86	2
CDO1	2
UCHL1	2
MEG3	2
CPXM1	2
CCDC8	2
RFPL1S	2
NEFH	2
GRIN2D	2
KLHL35	2
STRA6	2
KANK4	2
PODXL2	2
FZD9	2
OLFM2	2
DTX1	2
TSPAN11	2
SOX11	2
SLC29A4	2
EFNB3	2
KIAA1549	2
MEX3A	2
FAM101A	2
MAGEL2	2
IGDCC3	2
MDFI	2
SAMD11	2
FNDC4	2
DNAJC12	2
CYTL1	2
COLEC11	2
CCND2	2
NKD2	2
SLC7A10	2
EMID2	2
CPAMD8	2
DNAH2	2
MGAT3	2
ATP1B2	2
IGFBP2	2
NGFR	2
GALNT14	2
IQCA1	2
IQSEC3	2
AJAP1	2
TMEM132B	2
PTCHD2	2
GRIK4	2
TMEM132E	2
CBLN4	2
DLX4	2
DLX3	2
IRX4	2
ZIC3	2
IRX1	2
IRX2	2
C5orf38	2
TBX5	2
GDF10	2
ALX4	2
SIX3	2
HS3ST4	2
EN2	2
LMX1B	2
HMX1	2
SYCE1	2
GABRA5	2
PLEKHG4B	2
FAM189A1	2
DKFZp434J0226	2
TMEM132D	2
A2BP1	2
NOS1	2
PAX1	2
FOXA2	2
RSPO4	2
CLDN10	2
GRIA4	2
LOC440905	2
HNF4G	2
CSMD3	2
VWDE	2
FSTL5	2
CYP26A1	2
GAS2	2
B3GAT1	2
ADD2	2
ECEL1	2
SMPDL3B	2
MUC6	2
CUX2	2
BARX2	2
MSLN	2
ESPN	2
FBXO2	2
COL9A1	2
ROBO2	2
COL25A1	2
CACNA1G	2
FGFR3	2
CHAD	2
PNMA6A	2
PNMA3	2
MPPED1	2
APBA2	2
ART5	2
KNDC1	2
CACNA2D2	2
GLB1L2	2
PKP2	2
D4S234E	2
GALNT9	2
LRRTM1	2
LOC284276	2
BCL11A	2
RIMBP2	2
TMEM132C	2
KLHL31	2
CHGB	2
PHF21B	2
MYH14	2
DOK7	2
SHISA2	2
ATP8A2	2
BMP3	2
HHIP	2
MYCN	2
GRIK3	2
COL23A1	2
KCNF1	2
CRLF1	2
TBX1	2
NOTUM	2
FZD10	2
SCXB	2
GYLTL1B	2
SEZ6L	2
ACCN1	2
PURG	2
IGLON5	2
CHODL	2
USH1C	2
SYT13	2
CASKIN1	2
KCNN1	2
NPW	2
TNNI3	2
DDX25	2
DLL3	2
FLRT1	2
TCERG1L	2
PAX7	2
CA10	2
LPPR1	2
CRABP1	2
EDN3	2
OCA2	2
WIF1	2
CRHR1	2
ELFN2	2
CHST8	2
CDH22	2
GRM4	2
SDK2	2
COL9A3	2
SOX8	2
BARX1	2
DUSP9	2
KCNQ2	2
LPPR3	2
COL11A2	2
COL2A1	2
SHANK2	2
EDAR	2
TOX3	2
NELL1	2
SOSTDC1	2
KCNIP1	2
FGF19	2
SFRP5	2
PCDH8	2
RGS6	2
BAI1	2
PRAME	2
MAGEA9B	2
MAGEA4	2
C14orf39	2
HMGCLL1	2
BMP5	2
