gene	siADNP1	siADNP2	siADNP3	SCR1	SCR2	SCR3
C15orf33	45	45	31	35	50	39
C15orf34	2	3	0	1	4	1
C15orf37	3	8	4	14	5	5
C15orf38	51	63	36	71	86	59
C15orf38-AP3S2	0	0	0	0	0	0
C15orf39	362	362	331	375	427	326
C15orf40	52	66	52	72	84	74
C15orf41	149	170	165	160	209	170
C15orf42	749	765	515	781	802	745
C15orf43	0	0	0	0	0	0
C15orf44	497	589	497	791	805	678
C15orf48	0	0	0	1	0	0
C15orf5	0	0	0	3	1	1
C15orf50	0	0	0	0	0	0
C15orf52	41	48	27	27	36	40
C15orf53	0	0	0	0	0	0
C15orf54	0	0	0	0	0	0
C15orf55	0	2	0	1	0	0
C15orf56	2	5	0	2	0	5
C15orf57	67	75	62	91	107	77
C15orf58	59	47	27	40	60	42
C15orf59	1	6	3	5	1	0
C15orf60	0	0	0	0	0	0
C15orf61	59	63	51	54	64	49
C15orf62	2	2	1	1	0	0
C15orf63	0	0	2	0	1	0
C16orf11	0	0	0	0	0	0
C16orf13	85	88	59	63	105	92
C16orf3	0	0	0	0	0	0
C16orf42	242	255	238	275	320	284
C16orf45	179	198	200	230	291	211
C16orf46	50	47	58	65	74	52
C16orf48	25	19	20	17	17	21
C16orf5	66	64	56	49	60	49
C16orf52	246	272	224	217	268	215
C16orf53	131	177	146	216	248	199
C16orf54	0	0	0	0	0	0
C16orf55	102	89	92	125	121	87
C16orf57	542	680	604	596	673	601
C16orf58	337	366	300	393	428	333
C16orf59	126	135	118	137	151	124
C16orf62	281	333	295	485	566	477
C16orf7	14	20	12	17	28	24
C16orf70	160	219	171	206	232	184
C16orf71	2	3	2	6	4	3
C16orf72	424	480	392	514	578	481
C16orf73	1	4	5	2	3	3
C16orf74	43	37	42	33	48	34
C16orf78	0	0	0	0	0	0
C16orf79	19	20	22	9	14	20
C16orf80	774	825	767	833	1062	758
C16orf82	0	0	0	0	0	0
C16orf86	0	0	0	0	1	0
C16orf87	107	132	100	141	164	152
C16orf88	434	471	412	518	567	422
C16orf89	0	0	0	0	0	0
C16orf90	0	0	0	0	0	0
C16orf91	29	37	31	42	65	44
C16orf92	0	0	0	0	0	0
C16orf93	45	54	38	25	39	18
C16orf95	19	19	23	29	20	24
C16orf96	1	1	1	0	0	0
C17orf100	7	10	9	12	17	7
C17orf101	182	193	165	193	219	150
C17orf102	0	0	0	0	0	0
C17orf103	20	35	22	17	22	17
C17orf104	0	0	0	1	0	0
C17orf105	0	0	1	1	0	0
C17orf107	4	13	2	3	4	3
C17orf108	4	13	4	17	8	9
C17orf109	0	0	1	0	1	0
C17orf110	0	0	0	1	0	0
C17orf28	219	265	207	253	304	228
C17orf39	159	169	117	159	173	157
C17orf47	0	0	2	2	2	2
C17orf48	53	52	52	62	72	66
C17orf49	0	0	0	0	0	0
C17orf50	0	1	0	0	0	0
C17orf51	210	248	189	207	230	214
C17orf53	66	74	63	79	74	73
C17orf56	69	73	93	76	97	86
C17orf57	0	4	0	1	0	3
C17orf58	160	166	199	228	263	188
C17orf59	87	90	68	64	72	65
C17orf61	40	70	50	70	84	50
C17orf61-PLSCR3	0	0	0	0	0	0
C17orf62	238	249	193	186	227	215
C17orf63	346	409	396	499	587	459
C17orf64	0	1	0	0	2	0
C17orf65	87	109	79	94	106	70
C17orf66	0	0	0	0	0	0
C17orf67	1	0	0	0	3	0
C17orf69	51	52	59	45	62	42
C17orf70	362	400	331	404	435	371
C17orf72	0	0	0	0	0	0
C17orf74	1	2	0	0	0	0
C17orf75	132	163	145	212	194	189
C17orf76-AS1	1841	1940	1756	2598	3005	2312
C17orf77	0	0	0	0	1	0
C17orf78	0	0	0	0	0	0
C17orf79	172	202	167	179	216	161
C17orf80	455	562	511	611	628	576
C17orf81	130	165	160	182	206	185
C17orf82	5	8	4	6	7	5
C17orf85	895	979	783	1063	1186	939
C17orf89	108	163	134	151	153	113
C17orf90	98	96	99	103	125	105
C17orf96	138	171	142	138	152	123
C17orf97	11	21	10	13	12	14
C17orf98	0	0	0	0	0	0
C17orf99	0	0	0	0	1	0
C18orf1	20	30	16	10	13	18
C18orf21	383	340	351	456	539	385
C18orf25	444	648	492	656	734	591
C18orf26	0	0	0	0	0	0
C18orf32	23	11	9	5	22	20
C18orf34	0	1	0	0	0	0
C18orf42	0	0	0	0	0	0
C18orf54	130	151	94	106	142	115
C18orf56	13	11	7	8	7	7
C18orf62	0	0	0	0	0	0
C18orf63	1	0	0	0	0	0
C18orf8	275	286	272	250	292	216
C19orf10	427	455	353	461	530	433
C19orf12	81	98	73	116	96	93
C19orf18	0	0	0	0	0	0
C19orf21	224	229	262	209	238	201
C19orf24	57	89	72	83	95	81
C19orf25	95	119	110	130	142	95
C19orf26	41	32	48	39	47	42
C19orf29	211	276	195	226	258	203
C19orf29-AS1	2	1	0	2	5	6
C19orf33	208	198	174	283	365	261
C19orf35	0	0	0	0	0	0
C19orf38	0	2	1	1	0	0
C19orf40	15	27	10	20	32	24
C19orf42	638	584	573	605	706	523
C19orf43	727	730	618	682	855	676
C19orf44	129	130	80	144	153	93
C19orf45	2	2	1	1	0	5
C19orf46	150	113	99	115	134	120
C19orf47	155	170	111	182	193	155
C19orf48	862	883	812	1018	1266	961
C19orf51	360	337	345	345	418	312
C19orf52	129	123	122	156	175	135
C19orf53	596	600	553	621	664	564
C19orf54	101	114	98	110	138	102
C19orf55	113	118	71	117	133	88
C19orf57	2	4	2	0	2	0
C19orf59	0	0	0	0	0	0
C19orf6	995	1025	893	938	1055	899
C19orf60	76	89	87	69	102	73
C19orf63	440	529	429	336	447	393
C19orf66	24	37	23	39	31	25
C19orf69	0	0	1	0	0	3
